"№","предмет выдачи","число ссуд","на сумму (руб)","более подробные сведения, на какие именно предметы выданы ссуды"
1,"покупка земли в полную собственность",1,60р.,"покупка земли у своих односельчан"
2,"Постройка, покупка, оборудование и ремонт предприятий сельско-хозяйственных и промышленных (мельниц, маслобоен, кузниц, амбаров, сараев и т.п.)",44,1 938р.,"постройка и ремонт сараев, амбаров, бань, гумен"
3,"постройки для жилья, покупка их или ремонт",41,1 545р.,"постройка и ремонт домов и печей и крыш"
4,"Улучшение угодий (покупка удобрений, искусственное орошение, осушение, корчевание и т.п.) устройство плотин, прудов, садов, огородов",2,110р.,"расчистка пожень"
5,"покупка и почин орудиц для сельского хозяйтсва (машин и проч.)",12,383р.,"покупка саней и телег"
6,"покупка и починка орудий ремесленного, кустарного и других промыслов (слесарные, столярные инструменты, приборы и проч.)",2,90р.,"швейная машина и пильный станок"
7,"покупка рабочего скота, всяких домашних животных (лошади, волы, ослы, верблюды, коровы, овцы т и.п.), домашней птицы, пчел и т.п.",53,2 957р.,"покупка и перемена коров и лошадей"
8,"аренда (земли и други угодий, мельницы, промышленного заведения)",,,
9,"покупка семян для посева",,,
10,"покупка материалов ремесленного, кустарного и других промыслов (сталь, железо, медь, дерево, сукно, кожа, шерсть, краски и т.п.)",7,355р.,"покупка рыболовных сеток"
11,"наем машин и рабочей силы (рабочих, рабочего скота, электрической и другой энергии), покупка горючего материала (дров, уголь и т.п.)",1,35р.,"заготовка дров"
12,"Покупка разного рода товаров для продажи",,,
13,"покупка корма для скота (ове, сено, отруби и т.п.)",4,125р.,"сено и солома"
14,"снаряжение в отхожие промыслы",1,25р.,
15,"уплата частных долгов",1,35р.,
16,"переписка выданных товаищеских обязательств  на новые сроки или на новых условиях",,,
17,"разные личные расходы заемщика и его семьи (продовольствие, отопление, уплата повинностей, свадьбы, похороны, лечение, воспитание детей, наряды, довольствия, мебель, книги и т.п.)",13,345р.,"обувь, одежда, воспитание детей"
18,"ссуды под залог произведений сельского хозяйства и промыслов",,,
19,"ссуды под залог ремесленныз и кустарных произведений",,,
"ИТОГО",,182,8 003р.,
